Email,FirstName,Gender,LastName,ConfirmPassword
ninajain212@gmail.com,Nina,F,Jain,12345678
aarav.sharma91@gmail.com,Aarav,M,Sharma,Pass@1023
priya.mehta77@yahoo.com,Priya,F,Mehta,Secure#456
rohan.verma22@hotmail.com,Rohan,M,Verma,Rohan@789
kavita.singh18@gmail.com,Kavita,F,Singh,Kavi1234
aditya.kapoor55@gmail.com,Aditya,M,Kapoor,Adi@2025
sneha.patel88@yahoo.com,Sneha,F,Patel,Sneha#321
vikas.gupta11@hotmail.com,Vikas,M,Gupta,Vikas@555
neha.arora99@gmail.com,Neha,F,Arora,Neha2026!
rahul.malhotra44@gmail.com,Rahul,M,Malhotra,Rahul#909
